Identifiant;Type Objet;Modèle;N° Voie Pair;N° Voie Impair;Voie;Commune;Disponibilité;Début Indisponibilité;Fin Indisponibilité;Motif Indisponibilité;geo_shape;geo_point_2d
450072927;BORNE_FONTAINE;GHM Ville de Paris;;11;RUE DE LA COSSONNERIE;PARIS 1ER ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.348349231255197, 48.86152023733916]}";48.8615202373,2.34834923126
450073004;FONTAINE_ARCEAU;Fontaine Arceau;;;PLACE ANNE MARIE CARRIERE;PARIS 18EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.334518101881219, 48.885944025612005]}";48.8859440256,2.33451810188
450025180;FONTAINE_BOIS;Wallace Bois;;;ROUTE DU GRAND PRIEUR;PARIS 12EME ARRONDISSEMENT;NON;2020-11-18T01:00:00+00:00;2021-03-31T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.455410382487762, 48.83561146226503]}";48.8356114623,2.45541038249
450024970;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;ALLEE ADRIENNE LECOUVREUR;PARIS 7EME ARRONDISSEMENT;NON;2020-12-08T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.30176773328437, 48.85490516690257]}";48.8549051669,2.30176773328
450069581;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;BOULEVARD MARGUERITE DE ROCHECHOUART;PARIS 9EME ARRONDISSEMENT;NON;2020-12-11T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.344252257880774, 48.88258014477751]}";48.8825801448,2.34425225788
450070931;FONTAINE_BOIS;Wallace Bois;;;ROUTE DU PESAGE;PARIS 12EME ARRONDISSEMENT;NON;2020-11-19T01:00:00+00:00;2021-03-31T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.445349095966809, 48.82081059543957]}";48.8208105954,2.44534909597
450072250;FONTAINE_BOIS;GHM Bois;;;RUE TAGORE;PARIS 13EME ARRONDISSEMENT;NON;2020-12-04T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.360263076861118, 48.82053212824994]}";48.8205321282,2.36026307686
450072256;FONTAINE_BOIS;GHM Bois;;;SQUARE PIERRE ET MARIE CURIE;PARIS 13EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.363256760620734, 48.84112591778924]}";48.8411259178,2.36325676062
450072609;FONTAINE_BOIS;Bayard D1;;;PARC DE BELLEVILLE;PARIS 20EME ARRONDISSEMENT;NON;2020-12-02T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.383339890643229, 48.87206735792698]}";48.8720673579,2.38333989064
450072596;FONTAINE_BOIS;GHM Bois;;;SQUARE EMMANUEL FLEURY;PARIS 20EME ARRONDISSEMENT;NON;2020-12-03T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.412133891316124, 48.870605261776305]}";48.8706052618,2.41213389132
